iter	Passed	Remaining
0	0	54
1	1	50
2	1	48
3	1	43
4	2	43
5	2	42
6	3	42
7	3	41
8	4	41
9	4	41
10	5	40
11	5	40
12	5	39
13	6	39
14	6	38
15	7	37
16	7	37
17	8	37
18	8	36
19	9	36
20	9	36
21	10	37
22	11	37
23	12	40
24	13	39
25	13	39
26	14	39
27	15	38
28	15	38
29	15	37
30	16	36
31	17	36
32	17	35
33	17	34
34	18	33
35	18	33
36	19	32
37	19	31
38	19	30
39	20	30
40	20	29
41	20	28
42	21	27
43	21	27
44	21	26
45	22	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	21
54	26	21
55	26	20
56	27	20
57	27	20
58	28	19
59	29	19
60	29	19
61	30	18
62	30	18
63	31	17
64	31	17
65	32	16
66	32	16
67	32	15
68	33	14
69	33	14
70	34	14
71	34	13
72	35	13
73	35	12
74	36	12
75	36	11
76	37	11
77	37	10
78	38	10
79	38	9
80	39	9
81	39	8
82	40	8
83	41	7
84	42	7
85	43	7
86	44	6
87	44	6
88	45	5
89	45	5
90	46	4
91	46	4
92	47	3
93	47	3
94	48	2
95	48	2
96	49	1
97	49	1
98	50	0
99	50	0
