iter	Passed	Remaining
0	55	55012
1	55	27829
2	56	18708
3	56	14138
4	57	11400
5	57	9604
6	58	8295
7	61	7602
8	61	6823
9	62	6189
10	63	5666
11	63	5232
12	64	4873
13	64	4561
14	65	4288
15	65	4049
16	67	3885
17	67	3695
18	68	3524
19	68	3370
20	69	3239
21	70	3123
22	70	3008
23	71	2901
24	71	2802
25	72	2709
26	72	2625
27	73	2546
28	73	2473
29	76	2474
30	77	2409
31	77	2347
32	78	2289
33	78	2236
34	80	2206
35	80	2156
36	81	2108
37	81	2062
38	81	2020
39	82	1978
40	82	1939
41	83	1901
42	83	1867
43	84	1833
44	84	1802
45	85	1779
46	86	1750
47	86	1722
48	87	1695
49	88	1672
50	88	1645
51	89	1628
52	90	1622
53	91	1600
54	93	1598
55	93	1583
56	94	1568
57	95	1554
58	97	1554
59	98	1536
60	98	1518
61	99	1499
62	99	1480
63	100	1462
64	100	1446
65	101	1429
66	101	1413
67	101	1397
68	102	1382
69	102	1367
70	103	1352
71	106	1366
72	106	1354
73	107	1345
74	108	1339
75	109	1327
76	109	1316
77	110	1304
78	111	1294
79	111	1283
80	113	1284
81	113	1274
82	114	1260
83	114	1250
84	115	1248
85	116	1242
86	118	1244
87	119	1236
88	119	1227
89	120	1223
90	121	1214
91	122	1206
92	122	1197
93	123	1187
94	123	1178
95	124	1169
96	124	1159
97	125	1150
98	125	1141
99	125	1132
100	126	1123
101	126	1114
102	127	1106
103	127	1097
104	127	1089
105	128	1081
106	128	1073
107	128	1065
108	129	1057
109	129	1050
110	132	1061
111	133	1061
112	134	1057
113	135	1050
114	135	1044
115	136	1037
116	136	1030
117	136	1023
118	137	1017
119	137	1011
120	138	1005
121	138	998
122	139	992
123	139	987
124	140	983
125	141	978
126	141	972
127	141	967
128	142	962
129	142	956
130	143	950
131	143	945
132	144	940
133	144	935
134	145	932
135	146	930
136	146	925
137	147	920
138	147	916
139	148	911
140	149	908
141	149	903
142	149	898
143	150	894
144	150	889
145	151	885
146	151	881
147	152	877
148	152	873
149	153	869
150	153	865
151	154	861
152	154	857
153	155	853
154	155	849
155	156	847
156	157	843
157	157	840
158	158	836
159	158	832
160	158	827
161	159	823
162	160	823
163	161	821
164	161	817
165	162	814
166	163	817
167	164	815
168	165	811
169	165	808
170	166	805
171	166	801
172	167	798
173	167	796
174	168	793
175	168	790
176	169	787
177	169	784
178	170	782
179	171	779
180	171	777
181	172	774
182	172	771
183	173	769
184	175	771
185	176	770
186	176	767
187	177	764
188	177	762
189	179	765
190	180	765
191	181	762
192	182	762
193	182	759
194	183	757
195	184	755
196	184	753
197	185	751
198	186	749
199	186	746
200	187	743
201	187	740
202	187	737
203	188	734
204	188	731
205	190	735
206	191	733
207	192	731
208	192	728
209	193	727
210	193	725
211	194	722
212	194	720
213	195	718
214	196	715
215	196	714
216	197	713
217	198	711
218	198	709
219	199	707
220	199	704
221	200	702
222	200	700
223	201	697
224	201	695
225	202	693
226	202	690
227	203	688
228	204	687
229	204	685
230	205	685
231	206	684
232	207	684
233	208	681
234	208	679
235	209	678
236	211	680
237	212	679
238	215	684
239	216	684
240	217	683
241	219	688
242	220	687
243	221	685
244	221	683
245	222	681
246	222	679
247	223	677
248	223	675
249	224	673
250	224	671
251	225	668
252	225	666
253	226	664
254	227	663
255	227	662
256	228	661
257	229	661
258	230	659
259	230	656
260	231	655
261	232	654
262	233	653
263	233	652
264	234	649
265	234	647
266	235	647
267	236	645
268	237	644
269	237	642
270	238	641
271	239	640
272	239	638
273	240	636
274	240	634
275	241	632
276	241	630
277	242	628
278	242	626
279	242	624
280	243	622
281	243	620
282	244	618
283	244	616
284	245	614
285	245	613
286	246	611
287	247	611
288	247	610
289	248	608
290	249	606
291	249	605
292	250	603
293	250	602
294	251	600
295	251	599
296	252	597
297	252	595
298	253	594
299	254	592
300	254	591
301	255	589
302	255	587
303	255	586
304	256	584
305	256	582
306	258	583
307	259	582
308	259	580
309	260	579
310	260	577
311	261	577
312	262	575
313	262	574
314	263	572
315	264	571
316	264	570
317	265	568
318	265	567
319	266	566
320	266	564
321	267	563
322	267	561
323	268	559
324	268	558
325	269	556
326	270	555
327	270	554
328	271	553
329	272	552
330	272	550
331	273	549
332	273	548
333	274	547
334	275	546
335	276	546
336	277	545
337	278	546
338	279	544
339	280	543
340	280	542
341	280	540
342	281	539
343	281	537
344	282	536
345	283	534
346	283	533
347	283	532
348	284	530
349	284	529
350	286	529
351	286	527
352	287	526
353	287	524
354	287	523
355	288	521
356	288	519
357	289	518
358	290	518
359	290	517
360	291	515
361	292	514
362	292	513
363	294	515
364	295	514
365	296	513
366	297	512
367	297	511
368	298	510
369	298	508
370	299	508
371	300	507
372	300	505
373	301	504
374	301	502
375	301	500
376	302	499
377	302	497
378	302	496
379	303	494
380	304	493
381	305	493
382	305	492
383	306	491
384	306	489
385	307	488
386	307	487
387	308	485
388	308	484
389	309	483
390	309	482
391	309	480
392	310	479
393	310	478
394	311	477
395	312	476
396	312	474
397	313	473
398	314	473
399	315	472
400	315	471
401	316	470
402	316	469
403	316	467
404	317	466
405	317	464
406	318	463
407	319	463
408	320	462
409	320	461
410	321	460
411	321	459
412	322	457
413	322	456
414	323	455
415	323	454
416	324	453
417	324	452
418	325	450
419	325	449
420	326	448
421	326	447
422	327	446
423	327	444
424	328	443
425	328	442
426	328	441
427	329	440
428	330	440
429	331	438
430	331	437
431	331	436
432	332	435
433	333	434
434	334	434
435	334	433
436	335	432
437	335	431
438	336	430
439	337	429
440	338	428
441	338	427
442	339	426
443	340	425
444	340	424
445	341	423
446	341	422
447	342	421
448	342	420
449	343	419
450	343	418
451	343	417
452	344	415
453	345	414
454	345	413
455	346	412
456	346	411
457	347	410
458	347	410
459	348	409
460	349	408
461	349	407
462	350	406
463	350	405
464	351	404
465	352	403
466	352	402
467	353	401
468	353	400
469	354	399
470	354	398
471	355	397
472	356	396
473	356	395
474	357	394
475	357	393
476	358	393
477	359	392
478	359	391
479	360	390
480	360	388
481	360	387
482	361	386
483	362	386
484	363	385
485	363	384
486	364	383
487	364	382
488	365	381
489	365	380
490	366	379
491	367	379
492	367	378
493	368	377
494	368	376
495	369	375
496	369	374
497	370	373
498	370	372
499	371	371
500	372	370
501	373	370
502	374	370
503	375	369
504	376	368
505	378	369
506	379	369
507	380	368
508	381	367
509	381	366
510	382	365
511	382	364
512	383	364
513	383	362
514	384	362
515	384	361
516	385	360
517	385	359
518	386	358
519	387	357
520	387	356
521	388	355
522	388	354
523	389	353
524	389	352
525	390	351
526	390	350
527	390	349
528	391	348
529	392	348
530	393	347
531	393	346
532	394	346
533	395	345
534	396	344
535	397	344
536	398	343
537	398	342
538	399	341
539	399	340
540	399	339
541	400	338
542	400	337
543	401	336
544	401	335
545	402	334
546	402	333
547	403	332
548	403	331
549	404	330
550	404	329
551	404	328
552	405	327
553	405	326
554	406	326
555	407	325
556	408	324
557	408	323
558	408	322
559	409	321
560	409	320
561	410	319
562	410	318
563	411	317
564	411	316
565	412	316
566	412	315
567	413	314
568	413	313
569	414	312
570	415	312
571	416	311
572	417	310
573	417	310
574	418	309
575	418	308
576	419	307
577	419	306
578	420	305
579	421	305
580	422	304
581	423	304
582	424	303
583	425	302
584	425	301
585	426	300
586	426	300
587	427	299
588	428	298
589	428	297
590	429	296
591	429	296
592	430	295
593	430	294
594	430	293
595	431	292
596	431	291
597	432	290
598	432	289
599	433	288
600	433	287
601	434	287
602	435	286
603	435	285
604	436	284
605	436	284
606	437	283
607	437	282
608	438	281
609	438	280
610	439	279
611	439	278
612	440	278
613	440	277
614	441	276
615	441	275
616	442	274
617	442	273
618	443	272
619	443	271
620	444	271
621	444	270
622	445	269
623	445	268
624	445	267
625	446	266
626	447	265
627	447	265
628	448	264
629	448	263
630	449	262
631	450	262
632	450	261
633	451	260
634	451	259
635	452	258
636	452	258
637	453	257
638	454	256
639	454	255
640	455	254
641	455	254
642	456	253
643	457	252
644	457	251
645	458	251
646	458	250
647	459	249
648	459	248
649	460	247
650	460	247
651	461	246
652	461	245
653	462	244
654	462	243
655	463	242
656	463	242
657	465	241
658	465	240
659	466	240
660	466	239
661	467	238
662	467	237
663	468	236
664	468	236
665	469	235
666	469	234
667	470	233
668	470	232
669	472	232
670	473	232
671	474	231
672	475	230
673	477	230
674	477	229
675	478	229
676	478	228
677	479	227
678	480	227
679	480	226
680	481	225
681	481	224
682	482	223
683	482	223
684	483	222
685	483	221
686	484	220
687	485	220
688	485	219
689	486	218
690	487	217
691	487	217
692	488	216
693	488	215
694	489	214
695	489	213
696	490	213
697	490	212
698	491	211
699	491	210
700	492	209
701	492	209
702	493	208
703	494	207
704	495	207
705	495	206
706	496	205
707	497	205
708	498	204
709	498	203
710	499	202
711	499	202
712	500	201
713	500	200
714	501	199
715	501	199
716	502	198
717	503	197
718	504	197
719	504	196
720	505	195
721	505	194
722	506	193
